"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
301,11.2,11.2,88.8,"Aarberg BE","Aarberg (BE)","Aarberg BE","z","Les citoyens d'Aarberg disent oui à 53,3 pour cent à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques. Ils refusent par contre le projet principal qui proposait en plus de cette uniformisation des règles la possibilité pour les magasins d'ouvrir jusqu'à dimanche par année sans demander d'autorisation (non à 88,8 pour cent).",
302,93.1,93.1,6.9,"Bargen BE","Bargen (BE)","Bargen BE BE",,"Les citoyens de Bargen (BE) ont tranché en faveur du projet alternatif (58.73782 pour cent de oui) se focalisant uniquement sur l'uniformisation des règles encadrant le commerce des cigarettes électroniques et de cigarettes classiques.Ils ont préféré ce projet avec 70,8 pour cent de oui. Ils ont cependant également approuvé (93,1 pour cent de oui) le projet principal du Conseil d'Etat bernois, qui proposait également de permettre aux magasins d'ouvrir jusqu'à quatre dimanches par an sans demander d'autorisation.",
303,66.9,66.9,33.1,"Grossaffoltern BE","Grossaffoltern (BE)","Grossaffoltern BE",,"Les citoyens de Grossaffoltern ont tranché en faveur du projet alternatif (92.63955 pour cent de oui) se focalisant uniquement sur l'uniformisation des règles encadrant le commerce des cigarettes électroniques et de cigarettes classiques.Ils ont préféré ce projet avec 59,2 pour cent de oui. Ils ont cependant également approuvé (66,9 pour cent de oui) le projet principal du Conseil d'Etat bernois, qui proposait également de permettre aux magasins d'ouvrir jusqu'à quatre dimanches par an sans demander d'autorisation.",
304,28.4,28.4,71.6,"Kallnach BE","Kallnach (BE)","Kallnach BE",,"Les citoyens de Kallnach ne veulent ni uniformisation des règles encadrant le commerce de cigarettes électroniques et cigarettes classique, ni augmentation du nombre de dimanche ouverts pour les magasins. Ils ont refusé le projet principal avec #71,6 pour cent de non et le projet alternatif avec #76,3 pour cent de non",
305,91,91,9,"Kappelen BE","Kappelen (BE)","Kappelen BE",,"C'est oui à 91 pour cent à à l'ouverture des magasins jusqu'à quatre dimanche par année sans demande et à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques à Kappelen. C'est non par contre à 45,5 au projet alternatif se concentrant uniquement sur l'uniformisation des règles dans le commerce de cigarettes.",
306,39.2,39.2,60.8,"Lyss BE","Lyss (BE)","Lyss BE",,"Les citoyens de Lyss ne veulent ni uniformisation des règles encadrant le commerce de cigarettes électroniques et cigarettes classique, ni augmentation du nombre de dimanche ouverts pour les magasins. Ils ont refusé le projet principal avec #60,8 pour cent de non et le projet alternatif avec #93,3 pour cent de non",
307,43.7,43.7,56.3,"Meikirch BE","Meikirch (BE)","Meikirch BE",,"Non à 56,3 pour cent à l'ouverture de magasins plus de deux dimanches par année ainsi qu'à l'uniformisation des règles encadrant le commerce de cigarettes électroniques et de cigarettes et non à 98,1 pour cent au projet alternatif se limitant à l'uniformisation des règles dans le domaine des cigarettes. Les citoyens de Meikirch ont refusé les deux projets.",
309,30.2,30.2,69.8,"Radelfingen BE","Radelfingen (BE)","Radelfingen BE",,"Les citoyens de Radelfingen ne veulent ni uniformisation des règles encadrant le commerce de cigarettes électroniques et cigarettes classique, ni augmentation du nombre de dimanche ouverts pour les magasins. Ils ont refusé le projet principal avec #69,8 pour cent de non et le projet alternatif avec #60,4 pour cent de non",
310,36.4,36.4,63.6,"Rapperswil BE","Rapperswil (BE)","Rapperswil BE BE",,"Les citoyens de Rapperswil (BE) acceptent avec 56,4 pour cent de oui que le commerce de cigarettes électroniques soit soumis aux mêmes règles que celui des cigarettes classiques. Ils s'opposent par contre au projet principal du Conseil d'Etat qui proposait en plus de cette uniformisation des règles la possibilité pour les magasins d'ouvrir jusqu'à dimanche par année sans demander d'autorisation (non à 63,6 pour cent).",
311,6.2,6.2,93.8,"Schüpfen BE","Schüpfen (BE)","Schüpfen BE",,"C'est oui à 79,2 pour cent à l'uniformisation des règles encadrant le commerce des cigarettes électroniques et des cigarettes classiques à Schüpfen. C'est non par contre à 93,8 pour cent au projet principal qui proposait en plus de cette uniformisation des règles la possibilité pour les magasins d'ouvrir jusqu'à dimanche par année sans demander d'autorisation.",
