"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",29.6,70.4,29.6,162,162,
2,"Bern","Berne","Berna",52.1,47.9,52.1,335,335,
3,"Luzern","Lucerne","Lucerna",58.5,41.5,58.5,80,80,
4,"Uri","Uri","Uri",57.5,42.5,57.5,19,19,
5,"Schwyz","Schwyz","Svitto",76.5,23.5,76.5,30,30,
6,"Obwalden","Obwald","Obvaldo",38.3,61.7,38.3,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",57.2,42.8,57.2,11,11,
8,"Glarus","Glaris","Glarona",83.6,16.4,83.6,3,3,
9,"Zug","Zoug","Zugo",50.7,49.3,50.7,11,11,
10,"Freiburg","Fribourg","Friburgo",23.1,76.9,23.1,128,128,
11,"Solothurn","Soleure","Soletta",58.2,41.8,58.2,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",24.4,75.6,24.4,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",15.2,84.8,15.2,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",32.2,67.8,32.2,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",26.3,73.7,26.3,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",66.3,33.7,66.3,6,6,
17,"St. Gallen","Saint-Gall","San Gallo",20.2,79.8,20.2,77,77,
18,"Graubünden","Grisons","Grigioni",98.8,1.2,98.8,101,101,
19,"Aargau","Argovie","Argovia",2.2,97.8,2.2,210,210,
20,"Thurgau","Thurgovie","Turgovia",66.8,33.2,66.8,80,80,
21,"Tessin","Tessin","Ticino",21.1,78.9,21.1,111,111,
22,"Waadt","Vaud","Vaud",29.9,70.1,29.9,308,308,
23,"Wallis","Valais","Vallese",52.7,47.3,52.7,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",22,78,22,27,27,
25,"Genf","Genève","Ginevra",84.5,15.5,84.5,45,45,
26,"Jura","Jura","Giura",82.2,17.8,82.2,53,53,
