"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
5001,4.8,4.8,95.2,"Arbedo-Castione TI","Arbedo-Castione (TI)","Arbedo-Castione TI","In Arbedo-Castione hat das E-ID-Gesetz keine Mehrheit gefunden: 95,2 Prozent haben die Einführung einer elektronischen Identität abgelehnt. Arbedo-Castione hat damit gleich wie der Kanton Tessin Nein gesagt zu dieser Vorlage.","La loi sur les services d'identification électronique échoue à Arbedo-Castione avec 95,2 pour cent de non. Arbedo-Castione a rejeté la loi, tout comme son canton.","A Arbedo-Castione i cittadini hanno respinto, con il 95,2 percento dei voti, la legge federale sui servizi d’identificazione elettronica. Arbedo-Castione ha bocciato la legge, proprio come il suo cantone."
5002,37,37,63,"Bellinzona TI","Bellinzone (TI)","Bellinzona TI","Nein zur elektronischen Identität: Bellinzona hat das E-ID-Gesetz mit 63 Prozent Nein-Stimmen verworfen. Bellinzona hat damit gleich wie der Kanton Tessin Nein gesagt zu dieser Vorlage.","La loi sur les services d'identification électronique ne passe pas la rampe à Bellinzone avec 63 pour cent de non. Bellinzone a rejeté la loi, tout comme son canton.","Nel comune di Bellinzona la legge sull'identificazione elettronica è stata respinta con il 63 percento dei voti. Bellinzona ha bocciato la legge, proprio come il suo cantone."
5003,74.9,74.9,25.1,"Cadenazzo TI","Cadenazzo (TI)","Cadenazzo TI","74,9 Prozent der Stimmbürgerinnen und Stimmbürger von Cadenazzo haben sich für das E-ID-Gesetz ausgesprochen. Cadenazzo hat damit anders abgestimmt als der Kanton Tessin, der die Vorlage abgelehnt hat.","A Cadenazzo, les habitants disent oui à 74,9 pour cent à la loi sur les services d'identification électronique. Cadenazzo a approuvé la loi, contrairement à son canton.","Nel comune di Cadenazzo la legge sull'identificazione elettronica è stata approvata con il 74,9 percento dei voti. Cadenazzo, al contrario del suo cantone, ha approvato la legge."
5009,62.3,62.3,37.7,"Isone TI","Isone (TI)","Isone TI","Mit 5'183 Ja zu 3'132 Nein hat sich Isone für das E-ID-Gesetz ausgesprochen. Das entspricht 62,3 Prozent.. Isone hat damit anders abgestimmt als der Kanton Tessin, der die Vorlage abgelehnt hat.","Les habitants d'Isone approuvent la loi sur les services d'identification électronique avec 62,3 pour cent de oui. Isone a approuvé la loi, contrairement à son canton.","Sì alla legge sull'identificazione elettronica nel comune di Isone: i cittadini hanno approvato il testo con il 62,3 percento dei voti. Isone, al contrario del suo cantone, ha approvato la legge."
5010,78.4,78.4,21.6,"Lumino TI","Lumino (TI)","Lumino TI","Mit 78,4 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Lumino das E-ID-Gesetz angenommen. Lumino hat damit anders abgestimmt als der Kanton Tessin, der die Vorlage abgelehnt hat.","Les habitants de Lumino acceptent la loi sur les services d'identification électronique avec 78,4 pour cent de oui. Lumino a approuvé la loi, contrairement à son canton.","Nel comune di Lumino la legge sull'identificazione elettronica è stata accetata con il 78,4 percento dei voti. Lumino, al contrario del suo cantone, ha approvato la legge."
5017,92.2,92.2,7.8,"Sant'Antonino TI","Sant'Antonino (TI)","Sant'Antonino TI","Mit 92,2 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Sant'Antonino das E-ID-Gesetz angenommen. Sant'Antonino hat damit anders abgestimmt als der Kanton Tessin, der die Vorlage abgelehnt hat.","Les habitants de Sant'Antonino acceptent la loi sur les services d'identification électronique avec 92,2 pour cent de oui. Sant'Antonino a approuvé la loi, contrairement à son canton.","Nel comune di Sant'Antonino la legge sull'identificazione elettronica è stata accetata con il 92,2 percento dei voti. Sant'Antonino, al contrario del suo cantone, ha approvato la legge."
5048,22.5,22.5,77.5,"Acquarossa TI","Acquarossa (TI)","Acquarossa TI","In Acquarossa hat das E-ID-Gesetz keine Mehrheit gefunden: 77,5 Prozent haben die Einführung einer elektronischen Identität abgelehnt. Acquarossa hat damit gleich wie der Kanton Tessin Nein gesagt zu dieser Vorlage.","La loi sur les services d'identification électronique échoue à Acquarossa avec 77,5 pour cent de non. Acquarossa a rejeté la loi, tout comme son canton.","A Acquarossa i cittadini hanno respinto, con il 77,5 percento dei voti, la legge federale sui servizi d’identificazione elettronica. Acquarossa ha bocciato la legge, proprio come il suo cantone."
5049,68.8,68.8,31.2,"Blenio TI","Blenio (TI)","Blenio TI","Ja zur elektronischen Identität in Blenio. Die Gemeinde hat das E-ID-Gesetz mit 68,8 Prozent der Stimmen angenommen. Blenio hat damit anders abgestimmt als der Kanton Tessin, der die Vorlage abgelehnt hat.","Les électeurs de Blenio valident la loi sur les services d'identification électronique avec 68,8 pour cent de oui. Blenio a approuvé la loi, contrairement à son canton.","A Blenio i cittadini hanno accolto, con il 68,8 percento dei voti, la legge federale sui servizi d’identificazione elettronica. Blenio, al contrario del suo cantone, ha approvato la legge."
5050,83,83,17,"Serravalle TI","Serravalle (TI)","Serravalle TI","Mit 83 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Serravalle das E-ID-Gesetz angenommen. Serravalle hat damit anders abgestimmt als der Kanton Tessin, der die Vorlage abgelehnt hat.","Les habitants de Serravalle acceptent la loi sur les services d'identification électronique avec 83 pour cent de oui. Serravalle a approuvé la loi, contrairement à son canton.","Nel comune di Serravalle la legge sull'identificazione elettronica è stata accetata con il 83 percento dei voti. Serravalle, al contrario del suo cantone, ha approvato la legge."
5061,42.6,42.6,57.4,"Airolo TI","Airolo (TI)","Airolo TI","57,4 Prozent der Stimmbürgerinnen und Stimmbürger von Airolo haben sich gegen einen zweiwöchigen bezahlten Vaterschaftsurlaub ausgesprochen. Airolo hat damit gleich wie der Kanton Tessin Nein gesagt zu dieser Vorlage.","A Airolo, les habitants disent non à 57,4 pour cent à la loi sur les services d'identification électronique. Airolo a rejeté la loi, tout comme son canton.","I cittadini di Airolo si sono espressi contro la legge sull'identificazione elettronica. Il testo è stato respinto con il 57,4 percento dei voti. Airolo ha bocciato la legge, proprio come il suo cantone."
