"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2,100,100,0,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Affoltern am Albis hat das Freihandelsabkommen mit Indonesien von allen Schweizer Gemeinden am deutlichsten angenommen und zwar mit 100 Prozent der Stimmen. Affoltern am Albis hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Zürich.","Nulle part ailleurs en Suisse, l'accord de libre-échange avec l'Indonésie est approuvé plus fortement qu'à Affoltern am Albis. Les électeurs de cette commune disent oui à 100 pour cent. Le plus fort pourcentage de oui du canton de Zurich a été obtenu à Affoltern am Albis.","In nessun altra parte della Svizzera il partenariato economico globale con l'Indonesia è stato approvato così chiaramente come a Affoltern am Albis. Gli elettori hanno detto ""sì"" con il 100 percento dei voti. La più alta percentuale di ""sì"" nel canton Zurigo è stata ottenuta a Affoltern am Albis."
3,61.3,61.3,38.7,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","61,3 Prozent der Stimmbürgerinnen und Stimmbürger von Bonstetten haben Ja gesagt zum Freihandelsabkommen mit Indonesien. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 61,3 pour cent à l'accord de libre-échange avec l'Indonésie à Bonstetten. Bonstetten a approuvé la loi, contrairement à son canton.","Con il 61,3 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto il partenariato economico globale con l'Indonesia. Bonstetten, al contrario del suo cantone, ha approvato l'accordo."
4,59.5,59.5,40.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","59,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben für das Freihandelsabkommen mit Indonesien gestimmt. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Hausen am Albis, les habitants disent oui à 59,5 pour cent à l'accord de libre-échange avec l'Indonésie. Hausen am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Hausen am Albis l'accordo di libero scambio con l'Indonesia è stato approvato con il 59,5 percento dei voti. Hausen am Albis, al contrario del suo cantone, ha approvato l'accordo."
1,70.3,70.3,29.7,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Aeugst am Albis hat mit 70,3 Prozent Ja gesagt zum Freihandelsabkommen mit Indonesien. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants d'Aeugst am Albis acceptent l'accord de libre-échange avec l'Indonésie avec 70,3 pour cent de oui. Aeugst am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Aeugst am Albis l'accordo di libero scambio con l'Indonesia è stato accetato con il 70,3 percento dei voti. Aeugst am Albis, al contrario del suo cantone, ha approvato l'accordo."
6,98.4,98.4,1.6,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","98,4 Prozent der Stimmbürgerinnen und Stimmbürger von Kappel am Albis haben Ja gesagt zum Freihandelsabkommen mit Indonesien. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 98,4 pour cent à l'accord de libre-échange avec l'Indonésie à Kappel am Albis. Kappel am Albis a approuvé la loi, contrairement à son canton.","Con il 98,4 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto il partenariato economico globale con l'Indonesia. Kappel am Albis, al contrario del suo cantone, ha approvato l'accordo."
7,46.5,46.5,53.5,"Knonau ZH","Knonau (ZH)","Knonau ZH","53,5 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau haben das Freihandelsabkommen mit Indonesien abgelehnt. Knonau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants de Knonau s'opposent à l'accord de libre-échange avec l'Indonésie avec 53,5 pour cent de non. Knonau a rejeté la loi, tout comme son canton.","No all'accordo di libero scambio con l'Indonesia nel comune di Knonau: i cittadini hanno respinto il testo con il 53,5 percento dei voti. Knonau ha bocciato l'accordo, proprio come il suo cantone."
8,40.1,40.1,59.9,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Mit 1'847 Nein zu 1'236 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden das Freihandelsabkommen mit Indonesien abgelehnt. Das entspricht 59,9 Prozent. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Maschwanden, les habitants sont défavorables à l'accord de libre-échange avec l'Indonésie avec 59,9 pour cent de non. Maschwanden a rejeté la loi, tout comme son canton.","I cittadini di Maschwanden si sono espressi contro l'accordo di libero scambio con l'Indonesia. Il testo è stato respinto con il 59,9 percento dei voti. Maschwanden ha bocciato l'accordo, proprio come il suo cantone."
5,15.1,15.1,84.9,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","84,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen haben das Freihandelsabkommen mit Indonesien abgelehnt. Hedingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants de Hedingen s'opposent à l'accord de libre-échange avec l'Indonésie avec 84,9 pour cent de non. Hedingen a rejeté la loi, tout comme son canton.","No all'accordo di libero scambio con l'Indonesia nel comune di Hedingen: i cittadini hanno respinto il testo con il 84,9 percento dei voti. Hedingen ha bocciato l'accordo, proprio come il suo cantone."
10,29.1,29.1,70.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","70,9 Prozent Stimmbürgerinnen und Stimmbürger von Obfelden haben Nein gesagt zum Freihandelsabkommen mit Indonesien. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Obfelden, les habitants disent non à 70,9 pour cent à l'accord de libre-échange avec l'Indonésie. Obfelden a rejeté la loi, tout comme son canton.","Nel comune di Obfelden l'accordo di libero scambio con l'Indonesia è stato bocciato con il 70,9 percento dei voti. Obfelden ha bocciato l'accordo, proprio come il suo cantone."
11,65.7,65.7,34.3,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Mit 65,7 Prozent Ja hat sich Ottenbach für das Freihandelsabkommen mit Indonesien ausgesprochen. Ottenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants d'Ottenbach approuvent l'accord de libre-échange avec l'Indonésie avec 65,7 pour cent de oui. Ottenbach a approuvé la loi, contrairement à son canton.","Sì all'accordo di libero scambio con l'Indonesia nel comune di Ottenbach: i cittadini hanno approvato il testo con il 65,7 percento dei voti. Ottenbach, al contrario del suo cantone, ha approvato l'accordo."
12,21.1,21.1,78.9,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","78,9 Prozent der Stimmbürgerinnen und Stimmbürger von Rifferswil haben das Freihandelsabkommen mit Indonesien abgelehnt. Rifferswil hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants de Rifferswil s'opposent à l'accord de libre-échange avec l'Indonésie avec 78,9 pour cent de non. Rifferswil a rejeté la loi, tout comme son canton.","No all'accordo di libero scambio con l'Indonesia nel comune di Rifferswil: i cittadini hanno respinto il testo con il 78,9 percento dei voti. Rifferswil ha bocciato l'accordo, proprio come il suo cantone."
9,32,32,68,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","68 Prozent Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben Nein gesagt zum Freihandelsabkommen mit Indonesien. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Mettmenstetten, les habitants disent non à 68 pour cent à l'accord de libre-échange avec l'Indonésie. Mettmenstetten a rejeté la loi, tout comme son canton.","Nel comune di Mettmenstetten l'accordo di libero scambio con l'Indonesia è stato bocciato con il 68 percento dei voti. Mettmenstetten ha bocciato l'accordo, proprio come il suo cantone."
14,52.3,52.3,47.7,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Wettswil am Albis hat mit 52,3 Prozent Ja gesagt zum Freihandelsabkommen mit Indonesien. Wettswil am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants de Wettswil am Albis acceptent l'accord de libre-échange avec l'Indonésie avec 52,3 pour cent de oui. Wettswil am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Wettswil am Albis l'accordo di libero scambio con l'Indonesia è stato accetato con il 52,3 percento dei voti. Wettswil am Albis, al contrario del suo cantone, ha approvato l'accordo."
