"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",61.5,38.5,61.5,162,162,
2,"Bern","Berne","Berna",10.9,89.1,10.9,335,335,
3,"Luzern","Lucerne","Lucerna",91.2,8.8,91.2,80,80,
4,"Uri","Uri","Uri",61.5,38.5,61.5,19,19,
5,"Schwyz","Schwyz","Svitto",74.4,25.6,74.4,30,30,
6,"Obwalden","Obwald","Obvaldo",42.6,57.4,42.6,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",83.9,16.1,83.9,11,11,
8,"Glarus","Glaris","Glarona",70.4,29.6,70.4,3,3,
9,"Zug","Zoug","Zugo",27.9,72.1,27.9,11,11,
10,"Freiburg","Fribourg","Friburgo",54.3,45.7,54.3,128,128,
11,"Solothurn","Soleure","Soletta",96.4,3.6,96.4,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0.2,99.8,0.2,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",47,53,47,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",83.1,16.9,83.1,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",9.3,90.7,9.3,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",70.3,29.7,70.3,6,6,
17,"St. Gallen","Saint-Gall","San Gallo",33.8,66.2,33.8,77,77,
18,"Graubünden","Grisons","Grigioni",18.4,81.6,18.4,101,101,
19,"Aargau","Argovie","Argovia",79.3,20.7,79.3,210,210,
20,"Thurgau","Thurgovie","Turgovia",21.5,78.5,21.5,80,80,
21,"Tessin","Tessin","Ticino",67.1,32.9,67.1,111,111,
22,"Waadt","Vaud","Vaud",51,49,51,308,308,
23,"Wallis","Valais","Vallese",71.2,28.8,71.2,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",23.5,76.5,23.5,27,27,
25,"Genf","Genève","Ginevra",29.3,70.7,29.3,45,45,
26,"Jura","Jura","Giura",63.5,36.5,63.5,53,53,
