"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,86.7,86.7,13.3,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat die Burka-Initiative agenommen. Der Ja-Stimmen-Anteil beträgt 86,7 Prozent. Damit hat in Aeugst am Albis seit der Abstimmung über das Minarett-Verbot 2009 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 53 Prozent ein Nein in die Urne gelegt.","Les habitants d'Aeugst am Albis acceptent l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 86,7 pour cent de oui. Aeugst am Albis a changé de camp: en 2009, cette commune refusait d'interdire la construction de minarets. Ce dimanche, elle approuve l'initiative ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Aeugst am Albis l'Iniziativa anti-burqa è stata accetata con il 86,7 percento dei voti. Aeugst am Albis ha cambiato fazione: nel 2009, il comune aveva rifiutato di vietare la costruzione di minareti. Oggi approva invece l'iniziativa anti-burqa."
2,28.9,28.9,71.1,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Keine Mehrheit für die Burka-Initiative in Affoltern am Albis: Mit 8'860 Nein-Stimmen zu 3'607 Ja-Stimmen oder 71,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Affoltern am Albis die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 55 Prozent ein Ja in die Urne gelegt.","C'est non à 71,1 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"" à Affoltern am Albis. Affoltern am Albis a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Con il 71,1 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato l'Iniziativa anti-burqa. Affoltern am Albis ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
3,23.8,23.8,76.2,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Keine Mehrheit für die Burka-Initiative in Bonstetten: Mit 8'683 Nein-Stimmen zu 2'706 Ja-Stimmen oder 76,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Bonstetten die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 53,3 Prozent ein Ja in die Urne gelegt.","C'est non à 76,2 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"" à Bonstetten. Bonstetten a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Con il 76,2 percento di ""no"", i cittadini del comune di Bonstetten hanno bocciato l'Iniziativa anti-burqa. Bonstetten ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
4,34.1,34.1,65.9,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","65,9 Prozent Nein zur Burka-Initiative in der Gemeinde Hausen am Albis. Damit hat in Hausen am Albis die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 53,5 Prozent ein Ja in die Urne gelegt.","A Hausen am Albis, les habitants disent non à 65,9 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". Hausen am Albis a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Hausen am Albis l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata respinta con il 65,9 percento dei voti. Hausen am Albis ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
5,48.1,48.1,51.9,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","51,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur Burka-Initiative. Sie haben das Volksbegehren mit 3'174 Ja-Stimmen zu 2'945 Nein-Stimmen abgelehnt. Damit hat in Hedingen die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 50,8 Prozent ein Ja in die Urne gelegt.","Les habitants de Hedingen s'opposent à l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 51,9 pour cent de non. Hedingen a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","No all'Iniziativa anti-burqa nel comune di Hedingen: i cittadini hanno bocciato il testo con il 51,9 percento dei voti. Hedingen ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
6,50.1,50.1,49.9,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","50,1 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zur Burka-Initiative. Damit ist in Kappel am Albis die Skepsis gegenüber muslimischen religiösen Symbolen im Vergleich zur Abstimmung über das Minarett-Verbot im November 2009 gesunken. Damals betrug der Ja-Stimmen-Anteil noch 63,3 Prozent.","C'est oui à 50,1 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"" à Kappel am Albis. A Kappel am Albis, le rejet des symboles de la communauté musulmane s'est accentué au cours de ces onze dernières années. Le 29 novembre 2009, les électeurs de cette commune avaient dit oui à 63,3 pour cent à l'initiative pour l'interdiction des minarets.","Con il 50,1 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'Iniziativa anti-burqa. A Kappel am Albis lo scettiscmo nei confronti dei simboli della comunità musulmana è diminuito nel corso degli ultimi anni. Il 29 novembre 2009 gli elettori di questo comune avevano detto sì - con il 63,3 percento dei voti - all'iniziativa per il divieto dei minareti."
7,41.7,41.7,58.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","58,3 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Burka-Initiative. Sie haben das Volksbegehren mit 8'866 Ja-Stimmen zu 6'337 Nein-Stimmen abgelehnt. Damit hat in Knonau die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 54,7 Prozent ein Ja in die Urne gelegt.","Les habitants de Knonau s'opposent à l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 58,3 pour cent de non. Knonau a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","No all'Iniziativa anti-burqa nel comune di Knonau: i cittadini hanno bocciato il testo con il 58,3 percento dei voti. Knonau ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
8,68.9,68.9,31.1,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung der Initiative ""Ja zum Verhüllungsverbot"" zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 68,9 Prozent angenommen. Damit hat in Maschwanden die Skepsis gegenüber muslimischen religiösen Symbolen im Vergleich zur Abstimmung über die Minarett-Initiative im Novemeber 2009 noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 54,9 Prozent.","A Maschwanden, les habitants sont favorables à l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 68,9 pour cent de oui. A Maschwanden, le rejet des symboles de la communauté musulmane s'est fortement accentué au cours de ces onze dernières années. Le 29 novembre 2009, les électeurs de cette commune avaient dit oui à 54,9 pour cent à l'initiative pour l'interdiction des minarets.","I cittadini di Maschwanden si sono espressi a favore dell'iniziativa contro la dissimulazione del viso. Il testo è stato approvato con il 68,9 percento dei voti. A Maschwanden lo scettiscmo nei confronti dei simboli della comunità musulmana è ulteriormente cresciuto nel corso degli ultimi anni. Il 29 novembre 2009 gli elettori di questo comune avevano detto sì - con il 54,9 percento dei voti - all'iniziativa per il divieto dei minareti."
9,33.2,33.2,66.8,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","66,8 Prozent Nein zur Burka-Initiative in der Gemeinde Mettmenstetten. Damit hat in Mettmenstetten die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 55,4 Prozent ein Ja in die Urne gelegt.","A Mettmenstetten, les habitants disent non à 66,8 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". Mettmenstetten a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Mettmenstetten l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata respinta con il 66,8 percento dei voti. Mettmenstetten ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
10,48.9,48.9,51.1,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","51,1 Prozent Nein zur Burka-Initiative in der Gemeinde Obfelden. Damit hat in Obfelden die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 58,6 Prozent ein Ja in die Urne gelegt.","A Obfelden, les habitants disent non à 51,1 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". Obfelden a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Obfelden l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata respinta con il 51,1 percento dei voti. Obfelden ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
