"Gemeinde_Nr","Kantons_Nr","Ja_Stimmen_In_Prozent","Ja_Stimmen_Absolut","Nein_Stimmen_Absolut","Stimmbeteiligung_In_Prozent","Eingelegte_Stimmzettel","Anzahl_Stimmberechtigte","Gueltige_Stimmen","Gebiet_Ausgezaehlt","Kanton_Short","Gemeinde_d","Gemeinde_f","Gemeinde_i","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Highest_Yes_Kant","Highest_No_Kant","Ja_Nein","Oui_Non","Unentschieden","Einstimmig_Ja","Einstimmig_Nein","kleine_Gemeinde","Storyboard","Text_d","Text_f","Text_i","Nein_Stimmen_In_Prozent","Gemeinde_color","Hist_Ja_Stimmen_In_Prozent","Hist_Ja_Stimmen_Absolut","Hist_Nein_Stimmen_Absolut","Hist_Nein_Stimmen_In_Prozent"
5001,21,44.7177510768533,3945,4877,,,,8822,TRUE,"TI","Arbedo-Castione","Arbedo-Castione","Arbedo-Castione","Arbedo-Castione TI","Arbedo-Castione (TI)","Arbedo-Castione TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Nein","non",FALSE,FALSE,FALSE,,"Intro_Nein;HistoricPhrase_Ja_Nein","Nein zur Burka-Initiative in Arbedo-Castione: Mit 4'877 Nein- zu 3'945 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 55,3 Prozent. Damit hat in Arbedo-Castione die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 73 Prozent ein Ja in die Urne gelegt.","L'initiative ""pour l'interdiction de se dissimuler le visage"" échoue à Arbedo-Castione avec 55,3 pour cent de non. Arbedo-Castione a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","A Arbedo-Castione i cittadini hanno respinto, con il 55,3 percento dei voti, l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"". Arbedo-Castione ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa.",55.2822489231467,44.7177510768533,73.0474732006126,954,352,26.9525267993874
5002,21,16.1162710698314,937,4877,,,,5814,TRUE,"TI","Bellinzona","Bellinzone","Bellinzona","Bellinzona TI","Bellinzone (TI)","Bellinzona TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Nein","non",FALSE,FALSE,FALSE,,"Intro_Nein;HistoricPhrase_Ja_Nein","Die Gemeinde Bellinzona hat die Burka-Initiative abgelehnt.Der Nein-Stimmen-Anteil betrug 83,9 Prozent. Damit hat in Bellinzona die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 61,6 Prozent ein Ja in die Urne gelegt.","L'initiative ""pour l'interdiction de se dissimuler le visage"" ne passe pas la rampe à Bellinzone avec 83,9 pour cent de non. Bellinzone a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Da Bellinzona è arrivato un ""no"" alle urne per l'Iniziativa anti-Burqa. I cittadini hanno respinto il testo con il 83,9 percento dei voti. Bellinzona ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa.",83.8837289301686,16.1162710698314,61.6312212234159,2811,1750,38.3687787765841
5003,21,44.0424204616344,4236,5382,,,,9618,TRUE,"TI","Cadenazzo","Cadenazzo","Cadenazzo","Cadenazzo TI","Cadenazzo (TI)","Cadenazzo TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Nein","non",FALSE,FALSE,FALSE,,"Intro_Nein;HistoricPhrase_Ja_Nein","56 Prozent Nein zur Burka-Initiative in der Gemeinde Cadenazzo. Damit hat in Cadenazzo die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 74,2 Prozent ein Ja in die Urne gelegt.","A Cadenazzo, les habitants disent non à 56 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". Cadenazzo a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Cadenazzo l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata respinta con il 56 percento dei voti. Cadenazzo ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa.",55.9575795383656,44.0424204616344,74.1710296684119,425,148,25.8289703315881
5009,21,12.91917973462,1071,7219,,,,8290,TRUE,"TI","Isone","Isone","Isone","Isone TI","Isone (TI)","Isone TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Nein","non",FALSE,FALSE,FALSE,,"Intro_Nein;HistoricPhrase_Ja_Nein","87,1 Prozent der Stimmbürgerinnen und Stimmbürger von Isone sagen Nein zur Burka-Initiative. Sie haben das Volksbegehren mit 7'219 Ja-Stimmen zu 1'071 Nein-Stimmen abgelehnt. Damit hat in Isone die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 85,1 Prozent ein Ja in die Urne gelegt.","Les habitants d'Isone s'opposent à l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 87,1 pour cent de non. Isone a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","No all'Iniziativa anti-burqa nel comune di Isone: i cittadini hanno bocciato il testo con il 87,1 percento dei voti. Isone ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa.",87.08082026538,12.91917973462,85.1063829787234,160,28,14.8936170212766
5010,21,52.9696044766629,4165,3698,,,,7863,TRUE,"TI","Lumino","Lumino","Lumino","Lumino TI","Lumino (TI)","Lumino TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Ja","oui",FALSE,FALSE,FALSE,,"Intro_Ja;HistoricPhrase_Ja_Ja_JaAnteilGesunken","Die Gemeinde Lumino hat die Burka-Initiative agenommen. Der Ja-Stimmen-Anteil beträgt 53 Prozent. Damit ist in Lumino die Skepsis gegenüber muslimischen religiösen Symbolen im Vergleich zur Abstimmung über das Minarett-Verbot im November 2009 gesunken. Damals betrug der Ja-Stimmen-Anteil noch 70,4 Prozent.","Les habitants de Lumino acceptent l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 53 pour cent de oui. A Lumino, le rejet des symboles de la communauté musulmane s'est accentué au cours de ces onze dernières années. Le 29 novembre 2009, les électeurs de cette commune avaient dit oui à 70,4 pour cent à l'initiative pour l'interdiction des minarets.","Nel comune di Lumino l'Iniziativa anti-burqa è stata accetata con il 53 percento dei voti. A Lumino lo scettiscmo nei confronti dei simboli della comunità musulmana è diminuito nel corso degli ultimi anni. Il 29 novembre 2009 gli elettori di questo comune avevano detto sì - con il 70,4 percento dei voti - all'iniziativa per il divieto dei minareti.",47.0303955233371,52.9696044766629,70.3629032258064,349,147,29.6370967741936
5017,21,39.0506427133344,5043,7871,,,,12914,TRUE,"TI","Sant'Antonino","Sant'Antonino","Sant'Antonino","Sant'Antonino TI","Sant'Antonino (TI)","Sant'Antonino TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Nein","non",FALSE,FALSE,FALSE,,"Intro_Nein;HistoricPhrase_Ja_Nein","In Sant'Antonino hat die Burka-Initiative keine Mehrheit gefunden. Auf 60,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Sant'Antonino die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 78,1 Prozent ein Ja in die Urne gelegt.","Les habitants de Sant'Antonino rejettent l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 60,9 pour cent de non. Sant'Antonino a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Sant'Antonino l'Iniziativa anti-burqa è stata bocciata con il 60,9 percento dei voti. Sant'Antonino ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa.",60.9493572866656,39.0506427133344,78.0730897009967,470,132,21.9269102990033
5048,21,12.43853051779,430,3027,,,,3457,TRUE,"TI","Acquarossa","Acquarossa","Acquarossa","Acquarossa TI","Acquarossa (TI)","Acquarossa TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Nein","non",FALSE,FALSE,FALSE,,"Intro_Nein;HistoricPhrase_Ja_Nein","Nein zur Burka-Initiative in Acquarossa: Mit 3'027 Nein- zu 430 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 87,6 Prozent. Damit hat in Acquarossa die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 71,2 Prozent ein Ja in die Urne gelegt.","L'initiative ""pour l'interdiction de se dissimuler le visage"" échoue à Acquarossa avec 87,6 pour cent de non. Acquarossa a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","A Acquarossa i cittadini hanno respinto, con il 87,6 percento dei voti, l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"". Acquarossa ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa.",87.56146948221,12.43853051779,71.1775043936731,405,164,28.8224956063269
5049,21,65.7957559681698,9922,5158,,,,15080,TRUE,"TI","Blenio","Blenio","Blenio","Blenio TI","Blenio (TI)","Blenio TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Ja","oui",FALSE,FALSE,FALSE,,"Intro_Ja;HistoricPhrase_Ja_Ja_JaAnteilGesunken","65,8 Prozent der Stimmbürgerinnen und Stimmbürger von Blenio wollen, dass an öffentlich zugänglichen Orten niemand sein Gesicht verhüllen darf. Sie haben die Burka-Initiative mit 9'922 Ja-Stimmen zu 5'158 Nein-Stimmen angenommen. Damit ist in Blenio die Skepsis gegenüber muslimischen religiösen Symbolen im Vergleich zur Abstimmung über das Minarett-Verbot im November 2009 gesunken. Damals betrug der Ja-Stimmen-Anteil noch 72,9 Prozent.","Les électeurs de Blenio valident l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 65,8 pour cent de oui. A Blenio, le rejet des symboles de la communauté musulmane s'est accentué au cours de ces onze dernières années. Le 29 novembre 2009, les électeurs de cette commune avaient dit oui à 72,9 pour cent à l'initiative pour l'interdiction des minarets.","A Blenio i cittadini hanno accolto, con il 65,8 percento dei voti, l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"". A Blenio lo scettiscmo nei confronti dei simboli della comunità musulmana è diminuito nel corso degli ultimi anni. Il 29 novembre 2009 gli elettori di questo comune avevano detto sì - con il 72,9 percento dei voti - all'iniziativa per il divieto dei minareti.",34.2042440318302,65.7957559681698,72.9096989966555,436,162,27.0903010033445
5050,21,72.5845049356865,4853,1833,,,,6686,TRUE,"TI","Serravalle","Serravalle","Serravalle","Serravalle TI","Serravalle (TI)","Serravalle TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Ja","oui",FALSE,FALSE,FALSE,,"Intro_Ja;HistoricPhrase_NichtMöglich","Die Gemeinde Serravalle hat die Burka-Initiative agenommen. Der Ja-Stimmen-Anteil beträgt 72,6 Prozent. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der Abstimmung über das Minarett-Verbot im Jahr 2009 in Serravalle nicht möglich.","Les habitants de Serravalle acceptent l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 72,6 pour cent de oui. Impossible de comparer les résultats de ce dimanche à Serravalle avec ceux de l'initiative voulant interdire la construction de minarets en 2009. La commune a sans doute fusionné depuis.","Nel comune di Serravalle l'Iniziativa anti-burqa è stata accetata con il 72,6 percento dei voti. Impossibile comparare il risultato odierno di Serravalle con quello del 2009 sul divieto di costruzione dei minareti. Questo a causa di fusioni fra varie realtà comunali.",27.4154950643135,72.5845049356865,,,,
5061,21,48.6797450542174,5881,6200,,,,12081,TRUE,"TI","Airolo","Airolo","Airolo","Airolo TI","Airolo (TI)","Airolo TI","Tessin","Tessin","Ticino",25.1495681935921,FALSE,FALSE,"Nein","non",FALSE,FALSE,FALSE,,"Intro_Nein;HistoricPhrase_Ja_Nein","51,3 Prozent Nein zur Burka-Initiative in der Gemeinde Airolo. Damit hat in Airolo die Einstellung zu muslimischen religiösen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 76,8 Prozent ein Ja in die Urne gelegt.","A Airolo, les habitants disent non à 51,3 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". Airolo a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Airolo l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata respinta con il 51,3 percento dei voti. Airolo ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa.",51.3202549457826,48.6797450542174,76.7558528428094,459,139,23.2441471571906
