"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,19.7,19.7,80.3,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH",,,
2,73.9,73.9,26.1,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH",,,
3,67.2,67.2,32.8,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH",,,
4,57.5,57.5,42.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH",,,
5,62.3,62.3,37.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH",,,
6,90.2,90.2,9.8,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH",,,
7,55.8,55.8,44.2,"Knonau ZH","Knonau (ZH)","Knonau ZH",,,
8,50,50,50,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH",,,
9,24.8,24.8,75.2,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH",,,
10,23.9,23.9,76.1,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH",,,
11,89.1,89.1,10.9,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH",,,
12,50.4,50.4,49.6,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH",,,
13,39.2,39.2,60.8,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH",,,
14,74.8,74.8,25.2,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH",,,
21,17.8,17.8,82.2,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH",,,
22,12.4,12.4,87.6,"Benken ZH","Benken (ZH)","Benken ZH",,,
23,82.4,82.4,17.6,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH",,,
24,28,28,72,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH",,,
25,47.7,47.7,52.3,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH",,,
26,45.9,45.9,54.1,"Dorf ZH","Dorf (ZH)","Dorf ZH",,,
27,49,49,51,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH",,,
28,64.5,64.5,35.5,"Flaach ZH","Flaach (ZH)","Flaach ZH",,,
29,89.1,89.1,10.9,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH",,,
30,70.9,70.9,29.1,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH",,,
31,25.4,25.4,74.6,"Henggart ZH","Henggart (ZH)","Henggart ZH",,,
32,63.3,63.3,36.7,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH",,,
33,96.5,96.5,3.5,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH",,,
34,85,85,15,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH",,,
35,27.2,27.2,72.8,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH",,,
37,58.7,58.7,41.3,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH",,,
38,80.5,80.5,19.5,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH",,,
39,99.9,99.9,0.1,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH",,,
40,67.8,67.8,32.2,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH",,,
41,47.6,47.6,52.4,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH",,,
43,30.7,30.7,69.3,"Volken ZH","Volken (ZH)","Volken ZH",,,
51,96.4,96.4,3.6,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH",,,
52,1,1,99,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH",,,
53,52.5,52.5,47.5,"Bülach ZH","Bülach (ZH)","Bülach ZH",,,
54,27.3,27.3,72.7,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH",,,
55,27.7,27.7,72.3,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH",,,
56,7.9,7.9,92.1,"Embrach ZH","Embrach (ZH)","Embrach ZH",,,
57,83,83,17,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH",,,
58,61.5,61.5,38.5,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH",,,
59,11.9,11.9,88.1,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH",,,
60,96.3,96.3,3.7,"Höri ZH","Höri (ZH)","Höri ZH",,,
61,69.1,69.1,30.9,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH",,,
62,56,56,44,"Kloten ZH","Kloten (ZH)","Kloten ZH",,,
63,51.9,51.9,48.1,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH",,,
64,60.3,60.3,39.7,"Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH",,,
65,21.9,21.9,78.1,"Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH",,,
66,27.8,27.8,72.2,"Opfikon ZH","Opfikon (ZH)","Opfikon ZH",,,
67,15.7,15.7,84.3,"Rafz ZH","Rafz (ZH)","Rafz ZH",,,
68,99.6,99.6,0.4,"Rorbas ZH","Rorbas (ZH)","Rorbas ZH",,,
69,39.8,39.8,60.2,"Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH",,,
70,35.6,35.6,64.4,"Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH",,,
71,51.1,51.1,48.9,"Wil ZH","Wil (ZH)","Wil ZH ZH",,,
72,61.3,61.3,38.7,"Winkel ZH","Winkel (ZH)","Winkel ZH",,,
81,40,40,60,"Bachs ZH","Bachs (ZH)","Bachs ZH",,,
82,32.9,32.9,67.1,"Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH",,,
83,86.7,86.7,13.3,"Buchs ZH","Buchs (ZH)","Buchs ZH",,,
84,48.2,48.2,51.8,"Dällikon ZH","Dällikon (ZH)","Dällikon ZH",,,
85,52.3,52.3,47.7,"Dänikon ZH","Dänikon (ZH)","Dänikon ZH",,,
86,53.9,53.9,46.1,"Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH",,,
87,99.9,99.9,0.1,"Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH",,,
88,95,95,5,"Neerach ZH","Neerach (ZH)","Neerach ZH",,,
89,37.4,37.4,62.6,"Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH",,,
90,36.4,36.4,63.6,"Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH",,,
91,70.6,70.6,29.4,"Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH",,,
92,39.1,39.1,60.9,"Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH",,,
93,48.2,48.2,51.8,"Oberweningen ZH","Oberweningen (ZH)","Oberweningen ZH",,,
94,60.6,60.6,39.4,"Otelfingen ZH","Otelfingen (ZH)","Otelfingen ZH",,,
95,89.9,89.9,10.1,"Regensberg ZH","Regensberg (ZH)","Regensberg ZH",,,
96,94.1,94.1,5.9,"Regensdorf ZH","Regensdorf (ZH)","Regensdorf ZH",,,
97,39.4,39.4,60.6,"Rümlang ZH","Rümlang (ZH)","Rümlang ZH",,,
98,63.1,63.1,36.9,"Schleinikon ZH","Schleinikon (ZH)","Schleinikon ZH",,,
99,78.7,78.7,21.3,"Schöfflisdorf ZH","Schöfflisdorf (ZH)","Schöfflisdorf ZH",,,
100,40.6,40.6,59.4,"Stadel ZH","Stadel (ZH)","Stadel ZH",,,
101,38.5,38.5,61.5,"Steinmaur ZH","Steinmaur (ZH)","Steinmaur ZH",,,
102,53.3,53.3,46.7,"Weiach ZH","Weiach (ZH)","Weiach ZH",,,
111,44.6,44.6,55.4,"Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH",,,
112,47.6,47.6,52.4,"Bubikon ZH","Bubikon (ZH)","Bubikon ZH",,,
113,29.8,29.8,70.2,"Dürnten ZH","Dürnten (ZH)","Dürnten ZH",,,
114,32.2,32.2,67.8,"Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH",,,
115,10.4,10.4,89.6,"Gossau ZH","Gossau (ZH)","Gossau ZH",,,
116,58,58,42,"Grüningen ZH","Grüningen (ZH)","Grüningen ZH",,,
117,76.2,76.2,23.8,"Hinwil ZH","Hinwil (ZH)","Hinwil ZH",,,
118,7.5,7.5,92.5,"Rüti ZH","Rüti (ZH)","Rüti ZH",,,
119,49,49,51,"Seegräben ZH","Seegräben (ZH)","Seegräben ZH",,,
120,69.8,69.8,30.2,"Wald ZH","Wald (ZH)","Wald ZH",,,
121,34.8,34.8,65.2,"Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH",,,
131,49.4,49.4,50.6,"Adliswil ZH","Adliswil (ZH)","Adliswil ZH",,,
135,14.1,14.1,85.9,"Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH",,,
136,54.6,54.6,45.4,"Langnau am Albis ZH","Langnau am Albis (ZH)","Langnau am Albis ZH",,,
137,65.6,65.6,34.4,"Oberrieden ZH","Oberrieden (ZH)","Oberrieden ZH",,,
138,38.4,38.4,61.6,"Richterswil ZH","Richterswil (ZH)","Richterswil ZH",,,
139,20.9,20.9,79.1,"Rüschlikon ZH","Rüschlikon (ZH)","Rüschlikon ZH",,,
141,40,40,60,"Thalwil ZH","Thalwil (ZH)","Thalwil ZH",,,
151,47.1,47.1,52.9,"Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH",,,
152,42.8,42.8,57.2,"Herrliberg ZH","Herrliberg (ZH)","Herrliberg ZH",,,
153,39.7,39.7,60.3,"Hombrechtikon ZH","Hombrechtikon (ZH)","Hombrechtikon ZH",,,
154,29.8,29.8,70.2,"Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH",,,
155,51.3,51.3,48.7,"Männedorf ZH","Männedorf (ZH)","Männedorf ZH",,,
156,7.1,7.1,92.9,"Meilen ZH","Meilen (ZH)","Meilen ZH",,,
157,40.1,40.1,59.9,"Oetwil am See ZH","Oetwil am See (ZH)","Oetwil am See ZH",,,
158,27,27,73,"Stäfa ZH","Stäfa (ZH)","Stäfa ZH",,,
159,40.5,40.5,59.5,"Uetikon am See ZH","Uetikon am See (ZH)","Uetikon am See ZH",,,
160,10.7,10.7,89.3,"Zumikon ZH","Zumikon (ZH)","Zumikon ZH",,,
