"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,70.3,70.3,29.7,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","NA NA","NA NA","NA NA"
2,100,100,0,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","NA NA","NA NA","NA NA"
3,61.3,61.3,38.7,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","NA NA","NA NA","NA NA"
4,59.5,59.5,40.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","NA NA","NA NA","NA NA"
5,15.1,15.1,84.9,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","NA NA","NA NA","NA NA"
6,98.4,98.4,1.6,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","NA NA","NA NA","NA NA"
7,46.5,46.5,53.5,"Knonau ZH","Knonau (ZH)","Knonau ZH","NA NA","NA NA","NA NA"
8,40.1,40.1,59.9,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","NA NA","NA NA","NA NA"
9,32,32,68,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","NA NA","NA NA","NA NA"
10,29.1,29.1,70.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","NA NA","NA NA","NA NA"
11,65.7,65.7,34.3,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","NA NA","NA NA","NA NA"
12,21.1,21.1,78.9,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","NA NA","NA NA","NA NA"
13,76.9,76.9,23.1,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","NA NA","NA NA","NA NA"
14,52.3,52.3,47.7,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","NA NA","NA NA","NA NA"
21,7.5,7.5,92.5,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","NA NA","NA NA","NA NA"
22,69.2,69.2,30.8,"Benken ZH","Benken (ZH)","Benken ZH","NA NA","NA NA","NA NA"
23,59.4,59.4,40.6,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","NA NA","NA NA","NA NA"
24,28.5,28.5,71.5,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","NA NA","NA NA","NA NA"
25,31.6,31.6,68.4,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","NA NA","NA NA","NA NA"
26,27.2,27.2,72.8,"Dorf ZH","Dorf (ZH)","Dorf ZH","NA NA","NA NA","NA NA"
27,58.8,58.8,41.2,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","NA NA","NA NA","NA NA"
28,49.1,49.1,50.9,"Flaach ZH","Flaach (ZH)","Flaach ZH","NA NA","NA NA","NA NA"
29,80.3,80.3,19.7,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","NA NA","NA NA","NA NA"
30,46.2,46.2,53.8,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","NA NA","NA NA","NA NA"
31,66.1,66.1,33.9,"Henggart ZH","Henggart (ZH)","Henggart ZH","NA NA","NA NA","NA NA"
32,35.6,35.6,64.4,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","NA NA","NA NA","NA NA"
33,39,39,61,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","NA NA","NA NA","NA NA"
34,36.4,36.4,63.6,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","NA NA","NA NA","NA NA"
35,64.6,64.6,35.4,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","NA NA","NA NA","NA NA"
37,59.4,59.4,40.6,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","NA NA","NA NA","NA NA"
38,78.5,78.5,21.5,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","NA NA","NA NA","NA NA"
39,14,14,86,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","NA NA","NA NA","NA NA"
40,75.4,75.4,24.6,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","NA NA","NA NA","NA NA"
41,87,87,13,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH","NA NA","NA NA","NA NA"
43,60.3,60.3,39.7,"Volken ZH","Volken (ZH)","Volken ZH","NA NA","NA NA","NA NA"
51,61,61,39,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","NA NA","NA NA","NA NA"
52,41.4,41.4,58.6,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","NA NA","NA NA","NA NA"
53,67.3,67.3,32.7,"Bülach ZH","Bülach (ZH)","Bülach ZH","NA NA","NA NA","NA NA"
54,37.9,37.9,62.1,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","NA NA","NA NA","NA NA"
55,52.1,52.1,47.9,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH","NA NA","NA NA","NA NA"
56,29.8,29.8,70.2,"Embrach ZH","Embrach (ZH)","Embrach ZH","NA NA","NA NA","NA NA"
57,48.7,48.7,51.3,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","NA NA","NA NA","NA NA"
58,67.4,67.4,32.6,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","NA NA","NA NA","NA NA"
59,71.9,71.9,28.1,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","NA NA","NA NA","NA NA"
60,75.8,75.8,24.2,"Höri ZH","Höri (ZH)","Höri ZH","NA NA","NA NA","NA NA"
61,64.4,64.4,35.6,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","NA NA","NA NA","NA NA"
62,49.4,49.4,50.6,"Kloten ZH","Kloten (ZH)","Kloten ZH","NA NA","NA NA","NA NA"
63,41.9,41.9,58.1,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH","NA NA","NA NA","NA NA"
