"","Comune","Sì all'iniziativa anti-burqa (2021)","Sì al divieto di costruzione di minareti (2009)","Scarto (in punti percentuali)"
"1","Clarmont VD",90.8,33.3333333333333,57.4666666666667
"2","Lucerna LU",97,42.5679423183583,54.4320576816417
"3","Corseaux VD",97.7,44.7466007416564,52.9533992583436
"4","Vandoeuvres GE",95.7,42.9645542427497,52.7354457572503
"5","Medel (Lucmagn) GR",98.5,46,52.5
"6","Le Grand-Saconnex GE",92.3,40.8615641990799,51.4384358009201
"7","Friburgo FR",90,39.6651702207258,50.3348297792742
"8","Thalwil ZH",95.6,45.3473132372215,50.2526867627785
"9","Mont-sur-Rolle VD",98.2,48.4351713859911,49.7648286140089
"10","Nyon VD",88.8,39.7587812103259,49.0412187896741
"11","Dardagny GE",93.1,44.3231441048035,48.7768558951965
"12","Maur ZH",98.1,50.427122263748,47.672877736252
"13","Pruntrut JU",93.7,46.1287313432836,47.5712686567164
"14","Basilea BS",94.9,47.3967951946574,47.5032048053426
"15","Meilen ZH",96.5,49.3628700254852,47.1371299745148
"16","Vich VD",88.9,42.5287356321839,46.3712643678161
"17","Gy GE",74.7,28.4023668639053,46.2976331360947
"18","Blonay VD",91.5,45.5928646379853,45.9071353620147
"19","La Sarraz VD",90.9,45.0081833060556,45.8918166939444
"20","Etoy VD",84.9,39.0350877192982,45.8649122807018
"21","Ecublens VD",98.2,52.4529844644317,45.7470155355683
"22","Sitten VS",93.9,48.5433219825955,45.3566780174045
"23","Romanel-sur-Morges VD",88.8,43.9252336448598,44.8747663551402
"24","Renens VD",93.6,48.7736900780379,44.8263099219621
"25","Mies VD",82.5,38.1062355658199,44.3937644341801
"26","Stans NW",98.6,54.789391575663,43.810608424337
"27","Bussy-Chardonney VD",90.7,47.0198675496689,43.6801324503311
"28","Maracon VD",84.9,41.4507772020725,43.4492227979275
"29","Prangins VD",81.5,38.1507381507381,43.3492618492619
"30","Féchy VD",87.5,44.3661971830986,43.1338028169014
"31","Marchissy VD",75.7,33.0985915492958,42.6014084507042
"32","Tamins GR",89.7,47.2477064220183,42.4522935779817
"33","Agiez VD",94.1,51.685393258427,42.414606741573
"34","Trient VS",88.2,45.8333333333333,42.3666666666667
"35","Horw LU",98.2,56.0585628973223,42.1414371026777
"36","Savigny VD",87.7,45.7166392092257,41.9833607907743
"37","Münchenbuchsee BE",99.1,57.1942446043165,41.9057553956834
"38","Saulcy JU",81.6,39.7849462365591,41.8150537634409
"39","Borex VD",80.6,38.9285714285714,41.6714285714286
"40","Senarclens VD",94.2,52.8985507246377,41.3014492753623
"41","Bernex GE",81.4,40.1059085841695,41.2940914158306
"42","Nusshof BL",96.1,55.2631578947368,40.8368421052631
"43","Gilly VD",87.8,47.5308641975309,40.2691358024691
"44","Chêne-Bougeries GE",77.6,37.4029451137885,40.1970548862115
"45","Etagnières VD",96.7,56.8181818181818,39.8818181818182
"46","Ginevra GE",76.8,36.9792232040121,39.8207767959879
"47","PuplinGE",82.1,42.6129426129426,39.4870573870574
"48","Villars-sous-Yens VD",86.6,47.6190476190476,38.9809523809524
"49","Leubringen BE",94.1,55.168776371308,38.931223628692
"50","Muri bei Bern BE",84.7,45.8566433566434,38.8433566433566
