"","Gemeinde","Ja-Anteil"
"1","Cortébert BE",100
"2","Altdorf UR",100
"3","Aeschi bei Spiez BE",99.9
"4","Laufen BL",99.9
"5","Le Mont-sur-Lausanne VD",99.9
"6","Steg-Hohtenn VS",99.9
"7","Penthéréaz VD",99.8
"8","Rafz ZH",99.7
"9","Häfelfingen BL",99.7
"10","Rheinau ZH",99.6
"11","Avenches VD",99.4
"12","Bournens VD",99.4
"13","Niederbipp BE",99.2
"14","Turgi AG",99.2
"15","PresinGE",99
"16","Fontaines-sur-Grandson VD",98.9
"17","Saint-Légier-La Chiésaz VD",98.8
"18","Plan-les-Ouates GE",98.8
"19","Brenzikofen BE",98.6
"20","Beinwil SO",98.5
"21","Untersiggenthal AG",98.4
"22","Saint-Martin FR",98.3
"23","Rueyres VD",98.2
"24","Bavois VD",98.2
"25","Walterswil SO",98.1
"26","Kerzers FR",98
"27","La TèNE",98
"28","Starrkirch-Wil SO",97.5
"29","Waldkirch SG",97.5
"30","Richterswil ZH",97.3
"31","Muri AG",97.3
"32","Saillon VS",97.3
"33","Therwil BL",97.2
"34","Arbaz VS",97.2
"35","Savièse VS",97.2
"36","Höri ZH",97.1
"37","Guttannen BE",97.1
"38","Blumenstein BE",97.1
"39","Jenaz GR",97.1
"40","Weggis LU",97
"41","Untervaz GR",96.7
"42","Dalpe TI",96.7
"43","Le Grand-Saconnex GE",96.7
"44","Oberried am Brienzersee BE",96.4
"45","Malans GR",96.4
"46","Renens VD",96.4
"47","Begnins VD",96.4
"48","Chamblon VD",96.4
"49","Seewis im Prättigau GR",96.2
"50","Juriens VD",96.2
