"","Commune","Pourcentage de oui"
"1","Krauchthal (BE)",100
"2","Halten (SO)",100
"3","Courtelary (BE)",99.8
"4","Wil (SG)",99.6
"5","Locarno (TI)",99.6
"6","Stocken-Höfen (BE)",99.4
"7","Münchenbuchsee (BE)",99.1
"8","Embrach (ZH)",99
"9","Kandersteg (BE)",99
"10","Steinen (SZ)",99
"11","Wintersingen (BL)",98.9
"12","Hinwil (ZH)",98.8
"13","Stans (NW)",98.6
"14","Medel (Lucmagn) (GR)",98.5
"15","Auswil (BE)",98.4
"16","Horw (LU)",98.2
"17","Frick (AG)",98.2
"18","Ecublens (VD)",98.2
"19","Mont-sur-Rolle (VD)",98.2
"20","Maur (ZH)",98.1
"21","Douanne-Daucher (BE)",98
"22","Diepoldsau (SG)",97.9
"23","Cornol (JU)",97.9
"24","Neuendorf (SO)",97.8
"25","Thürnen (BL)",97.8
"26","Thal (SG)",97.8
"27","Roggliswil (LU)",97.7
"28","Beinwil (SO)",97.7
"29","Corseaux (VD)",97.7
"30","Grindel (SO)",97.4
"31","Kölliken (AG)",97.2
"32","Walenstadt (SG)",97.1
"33","Lucerne (LU)",97
"34","Bourg-Saint-Pierre (VS)",97
"35","Bargen (SH)",96.9
"36","Densbüren (AG)",96.8
"37","Bovernier (VS)",96.8
"38","Quinto (TI)",96.7
"39","Etagnières (VD)",96.7
"40","Loveresse (BE)",96.6
"41","Meilen (ZH)",96.5
"42","Zell (ZH)",96.5
"43","Torny (FR)",96.5
"44","Schleitheim (SH)",96.3
"45","Guttannen (BE)",96.2
"46","Bioley-Orjulaz (VD)",96.2
"47","Nusshof (BL)",96.1
"48","Sachseln (OW)",96
"49","Lütschental (BE)",95.8
"50","Fräschels (FR)",95.8
